video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps,lane_width_px,error_normalized,steering_raw,steering_filtered,steering_delta,steering_direction,steering_held,steering_saturated,controller_kp,controller_deadband_px,controller_smoothing_alpha,controller_max_step,controller_max_output,controller_hold_missing_frames
video_01,data/raw/test_video.mp4,config/test_video_params.json,23,0.927189,29.858562,480,600,center,1,240.0,249.361287,-9.361287,20.0,RETO,20.0,20.0,1,1,1,1,88.64240651086006,410.0801667872859,108.64240651086006,249.36128664907298,390.0801667872859,1.0,1.0,23158.62863772053,282314.0346154324,158.8159,6.296599,321.43776,-0.058246,-0.046597,-0.051481,0.001628,DIREITA,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,24,0.960511,29.858562,480,600,center,1,240.0,249.043521,-9.043521,20.0,RETO,20.0,20.0,1,1,1,1,88.08821859565374,409.99882285146936,108.08821859565374,249.04352072356153,389.99882285146936,1.0,1.0,22947.38555018118,309751.81668337324,147.9367,6.759648,321.910604,-0.056187,-0.044949,-0.049848,0.001633,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,25,0.993833,29.858562,480,600,center,1,240.0,248.689251,-8.689251,20.0,RETO,20.0,20.0,1,1,1,1,87.57851248821044,409.7999902840761,107.57851248821044,248.68925138614327,389.7999902840761,1.0,1.0,22644.495922848848,301582.39163533994,164.2993,6.086453,322.221478,-0.053933,-0.043147,-0.048173,0.001675,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,26,1.027167,29.858562,480,600,center,1,240.0,248.307011,-8.307011,20.0,RETO,20.0,20.0,1,1,1,1,87.11577476322336,409.4982462635255,107.11577476322336,248.30701051337442,389.4982462635255,1.0,1.0,22678.451256422457,241254.27686647623,163.3928,6.120221,322.382472,-0.051535,-0.041228,-0.046436,0.001736,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,27,1.060489,29.858562,480,600,center,1,240.0,247.926494,-7.926494,20.0,RETO,20.0,20.0,1,1,1,1,86.73146561107447,409.12152140657605,106.73146561107447,247.92649350882525,389.12152140657605,1.0,1.0,22908.99546208501,216348.21112447756,144.0553,6.941779,322.390056,-0.049173,-0.039339,-0.044662,0.001774,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,28,1.102144,29.858562,480,600,center,1,240.0,247.470387,-7.470387,20.0,RETO,20.0,20.0,1,1,1,1,86.38931347362431,408.551459666811,106.38931347362431,247.47038657021767,388.551459666811,1.0,1.0,23208.565844542845,254073.23842226446,160.2546,6.24007,322.162146,-0.046377,-0.037101,-0.042772,0.00189,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,29,1.135478,29.858562,480,600,center,1,240.0,246.932476,-6.932476,20.0,RETO,20.0,20.0,1,1,1,1,86.03827655539851,407.82667548425434,106.03827655539851,246.93247601982642,387.82667548425434,1.0,1.0,23406.47805495057,352637.356939914,142.9223,6.996809,321.788399,-0.043087,-0.03447,-0.040696,0.002076,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,30,1.160467,29.858562,480,600,center,1,240.0,246.407938,-6.407938,20.0,RETO,20.0,20.0,1,1,1,1,85.73205254795221,407.083823199998,105.73205254795221,246.4079378739751,387.083823199998,1.0,1.0,23613.22207846564,887838.4385184944,156.1353,6.404702,321.351771,-0.039881,-0.031905,-0.038498,0.002198,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,31,1.193789,29.858562,480,600,center,1,240.0,245.923157,-5.923157,20.0,RETO,20.0,20.0,1,1,1,1,85.48477169147208,406.36154192594995,105.48477169147208,245.92315680871104,386.36154192594995,1.0,1.0,24413.75728033816,999999.0,141.3197,7.076154,320.87677,-0.036919,-0.029535,-0.036258,0.002241,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,32,1.227111,29.858562,480,600,center,1,240.0,245.465056,-5.465056,20.0,RETO,20.0,20.0,1,1,1,1,85.30166053557937,405.6284523600877,105.30166053557937,245.46505644783355,385.6284523600877,1.0,1.0,25366.46931188374,999999.0,145.9577,6.8513,320.326792,-0.034122,-0.027297,-0.034018,0.00224,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,33,1.260444,29.858562,480,600,center,1,240.0,245.122774,-5.122774,20.0,RETO,20.0,20.0,1,1,1,1,85.22204225038732,405.02350530222486,105.22204225038732,245.12277377630608,385.02350530222486,1.0,1.0,26447.93210742413,999999.0,166.0291,6.023041,319.801463,-0.032037,-0.02563,-0.031921,0.002097,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,34,1.293767,29.858562,480,600,center,1,240.0,244.915948,-4.915948,20.0,RETO,20.0,20.0,1,1,1,1,85.22814942553963,404.6037472632221,105.22814942553963,244.91594834438084,384.6037472632221,1.0,1.0,27863.473081606717,999999.0,158.9857,6.289874,319.375598,-0.030785,-0.024628,-0.030097,0.001823,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,35,1.327089,29.858562,480,600,center,1,240.0,244.765054,-4.765054,20.0,RETO,20.0,20.0,1,1,1,1,85.24478872847178,404.28532016181816,105.24478872847178,244.76505444514498,384.28532016181816,1.0,1.0,30060.306540850303,999999.0,149.347,6.695816,319.040531,-0.029871,-0.023897,-0.028547,0.00155,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,36,1.360422,29.858562,480,600,center,1,240.0,244.637137,-4.637137,20.0,RETO,20.0,20.0,1,1,1,1,85.1940181148605,404.0802556367841,105.1940181148605,244.6371368758223,384.0802556367841,1.0,1.0,33200.056720142464,999999.0,158.445,6.311338,318.886238,-0.029083,-0.023267,-0.027227,0.00132,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
video_01,data/raw/test_video.mp4,config/test_video_params.json,37,1.393744,29.858562,480,600,center,1,240.0,244.575861,-4.575861,20.0,RETO,20.0,20.0,1,1,1,1,85.20413085303275,403.9475901751247,105.20413085303275,244.5758605140787,383.9475901751247,1.0,1.0,35671.135363160145,844944.2702338558,151.0241,6.62146,318.743459,-0.028712,-0.022969,-0.026163,0.001064,RETO,0,0,0.8,3.0,0.25,0.08,1.0,10
