video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps
video_01,data/raw/test_video.mp4,config/test_video_params.json,26,1.027167,29.858562,480,600,center,1,240.0,248.307011,-8.307011,20.0,RETO,20.0,20.0,1,1,1,1,87.11577476322336,409.4982462635255,107.11577476322336,248.30701051337442,389.4982462635255,1.0,1.0,22678.451256422457,241254.27686647623,155.8128,6.417958
video_01,data/raw/test_video.mp4,config/test_video_params.json,27,1.060489,29.858562,480,600,center,1,240.0,247.926494,-7.926494,20.0,RETO,20.0,20.0,1,1,1,1,86.73146561107447,409.12152140657605,106.73146561107447,247.92649350882525,389.12152140657605,1.0,1.0,22908.99546208501,216348.21112447756,163.8115,6.104578
video_01,data/raw/test_video.mp4,config/test_video_params.json,28,1.102144,29.858562,480,600,center,1,240.0,247.470387,-7.470387,20.0,RETO,20.0,20.0,1,1,1,1,86.38931347362431,408.551459666811,106.38931347362431,247.47038657021767,388.551459666811,1.0,1.0,23208.565844542845,254073.23842226446,168.2122,5.944872
video_01,data/raw/test_video.mp4,config/test_video_params.json,29,1.135478,29.858562,480,600,center,1,240.0,246.932476,-6.932476,20.0,RETO,20.0,20.0,1,1,1,1,86.03827655539851,407.82667548425434,106.03827655539851,246.93247601982642,387.82667548425434,1.0,1.0,23406.47805495057,352637.356939914,167.1873,5.981316
video_01,data/raw/test_video.mp4,config/test_video_params.json,30,1.160467,29.858562,480,600,center,1,240.0,246.407938,-6.407938,20.0,RETO,20.0,20.0,1,1,1,1,85.73205254795221,407.083823199998,105.73205254795221,246.4079378739751,387.083823199998,1.0,1.0,23613.22207846564,887838.4385184944,183.3991,5.452589
video_01,data/raw/test_video.mp4,config/test_video_params.json,31,1.193789,29.858562,480,600,center,1,240.0,245.923157,-5.923157,20.0,RETO,20.0,20.0,1,1,1,1,85.48477169147208,406.36154192594995,105.48477169147208,245.92315680871104,386.36154192594995,1.0,1.0,24413.75728033816,999999.0,154.986,6.452196
video_01,data/raw/test_video.mp4,config/test_video_params.json,32,1.227111,29.858562,480,600,center,1,240.0,245.465056,-5.465056,20.0,RETO,20.0,20.0,1,1,1,1,85.30166053557937,405.6284523600877,105.30166053557937,245.46505644783355,385.6284523600877,1.0,1.0,25366.46931188374,999999.0,160.7846,6.219501
video_01,data/raw/test_video.mp4,config/test_video_params.json,33,1.260444,29.858562,480,600,center,1,240.0,245.122774,-5.122774,20.0,RETO,20.0,20.0,1,1,1,1,85.22204225038732,405.02350530222486,105.22204225038732,245.12277377630608,385.02350530222486,1.0,1.0,26447.93210742413,999999.0,152.9295,6.538961
video_01,data/raw/test_video.mp4,config/test_video_params.json,34,1.293767,29.858562,480,600,center,1,240.0,244.915948,-4.915948,20.0,RETO,20.0,20.0,1,1,1,1,85.22814942553963,404.6037472632221,105.22814942553963,244.91594834438084,384.6037472632221,1.0,1.0,27863.473081606717,999999.0,169.2362,5.908901
video_01,data/raw/test_video.mp4,config/test_video_params.json,35,1.327089,29.858562,480,600,center,1,240.0,244.765054,-4.765054,20.0,RETO,20.0,20.0,1,1,1,1,85.24478872847178,404.28532016181816,105.24478872847178,244.76505444514498,384.28532016181816,1.0,1.0,30060.306540850303,999999.0,169.404,5.903048
