video,video_path,config_path,frame,timestamp_s,source_fps,bev_width,bev_height,target,target_available,vehicle_center_x,target_x,error_px,error_threshold_px,command,pseudo_left_offset_px,pseudo_right_offset_px,raw_left_detected,raw_right_detected,left_detected,right_detected,left_x_base,right_x_base,pseudo_left_x_base,center_x_base,pseudo_right_x_base,left_confidence,right_confidence,left_curvature,right_curvature,processing_ms,runtime_fps,lane_width_px,error_normalized,steering_raw,steering_filtered,steering_delta,steering_direction,steering_held,steering_saturated
video_02,data/raw/video_02.mp4,config/video_02_params.json,25,0.833333,30.0,400,600,center,1,200.0,203.459948,-3.459948,20.0,RETO,20.0,20.0,1,1,1,1,43.38023932994177,363.53965620126354,63.38023932994177,203.45994776560264,343.53965620126354,1.0,1.0,230067.59402902762,110241.75941885718,167.3209,5.97654,320.159417,-0.021614,-0.017291,-0.028477,0.003729,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,26,0.866667,30.0,400,600,center,1,200.0,202.529168,-2.529168,20.0,RETO,20.0,20.0,1,1,1,1,42.417129475175585,362.64120587402675,62.417129475175585,202.52916767460115,342.64120587402675,1.0,1.0,205077.30032609968,113921.09924778074,146.4348,6.828978,320.224076,0.0,0.0,-0.021358,0.007119,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,27,0.9,30.0,400,600,center,1,200.0,201.626528,-1.626528,20.0,RETO,20.0,20.0,1,1,1,1,41.499189245776805,361.7538673456613,61.499189245776805,201.62652829571908,341.7538673456613,1.0,1.0,172089.26110901614,114727.95028472968,152.0443,6.577031,320.254678,0.0,0.0,-0.016018,0.005339,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,28,0.933333,30.0,400,600,center,1,200.0,200.781469,-0.781469,20.0,RETO,20.0,20.0,1,1,1,1,40.69359484938449,360.869342446713,60.69359484938449,200.78146864804876,340.869342446713,1.0,1.0,148877.60354707693,114467.50022947803,160.7491,6.220875,320.175748,0.0,0.0,-0.012014,0.004005,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,29,0.966667,30.0,400,600,center,1,200.0,199.943076,0.056924,20.0,RETO,20.0,20.0,1,1,1,1,39.950113731340736,359.93603767336964,59.950113731340736,199.94307570235517,339.93603767336964,1.0,1.0,122626.51163485795,108477.36596523137,163.4825,6.116863,319.985924,0.0,0.0,-0.00901,0.003003,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,30,1.0,30.0,400,600,center,1,200.0,199.225567,0.774433,20.0,RETO,20.0,20.0,1,1,1,1,39.30177999542808,359.14935449915305,59.30177999542808,199.22556724729054,339.14935449915305,1.0,1.0,110326.9462858726,109123.29153499317,174.0513,5.745433,319.847575,0.0,0.0,-0.006758,0.002253,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,31,1.033333,30.0,400,600,center,1,200.0,198.683194,1.316806,20.0,RETO,20.0,20.0,1,1,1,1,38.78018357314968,358.5862046742242,58.78018357314968,198.68319412368692,338.5862046742242,1.0,1.0,105586.50076600039,115201.37793025721,172.0688,5.811629,319.806021,0.0,0.0,-0.005068,0.001689,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,32,1.066667,30.0,400,600,center,1,200.0,198.263724,1.736276,20.0,RETO,20.0,20.0,1,1,1,1,38.34687174085159,358.1805761499912,58.34687174085159,198.2637239454214,338.1805761499912,1.0,1.0,106185.1348705526,126132.58839154018,167.4711,5.97118,319.833704,0.0,0.0,-0.003801,0.001267,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,33,1.1,30.0,400,600,center,1,200.0,197.930558,2.069442,20.0,RETO,20.0,20.0,1,1,1,1,38.00942845706152,357.85168791401145,58.00942845706152,197.93055818553648,337.85168791401145,1.0,1.0,105533.41285682317,128957.99592866345,183.0696,5.462403,319.842259,0.0,0.0,-0.002851,0.00095,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,34,1.133333,30.0,400,600,center,1,200.0,197.680541,2.319459,20.0,RETO,20.0,20.0,1,1,1,1,37.75870263509665,357.6023791628991,57.75870263509665,197.6805408989979,337.6023791628991,1.0,1.0,109236.920134894,134942.50388590962,168.3005,5.941753,319.843677,0.0,0.0,-0.002138,0.000713,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,35,1.166667,30.0,400,600,center,1,200.0,197.511905,2.488095,20.0,RETO,20.0,20.0,1,1,1,1,37.58021166153886,357.44359759972383,57.58021166153886,197.51190463063134,337.44359759972383,1.0,1.0,117672.97685213796,139905.40653525636,178.1517,5.613194,319.863386,0.0,0.0,-0.001604,0.000535,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,36,1.2,30.0,400,600,center,1,200.0,197.487088,2.512912,20.0,RETO,20.0,20.0,1,1,1,1,37.491409767925425,357.48276562527155,57.491409767925425,197.48708769659848,337.48276562527155,1.0,1.0,118809.97041726967,140831.1097906266,170.5003,5.865092,319.991356,0.0,0.0,-0.001203,0.000401,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,37,1.233333,30.0,400,600,center,1,200.0,197.611202,2.388798,20.0,RETO,20.0,20.0,1,1,1,1,37.51079207935899,357.7116120971863,57.51079207935899,197.61120208827262,337.7116120971863,1.0,1.0,113699.5450580351,135172.67221180387,179.9444,5.557272,320.20082,0.0,0.0,-0.000902,0.000301,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,38,1.266667,30.0,400,600,center,1,200.0,197.935789,2.064211,20.0,RETO,20.0,20.0,1,1,1,1,37.6716123382432,358.19996591625204,57.6716123382432,197.93578912724763,338.19996591625204,1.0,1.0,106323.11886390804,152944.16839308708,193.243,5.174832,320.528354,0.0,0.0,-0.000677,0.000226,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,39,1.3,30.0,400,600,center,1,200.0,198.37623,1.62377,20.0,RETO,20.0,20.0,1,1,1,1,37.91322545026962,358.8392350607992,57.91322545026962,198.37623025553444,338.8392350607992,1.0,1.0,98727.69461668315,173704.20531642518,224.4036,4.456256,320.92601,0.0,0.0,-0.000507,0.000169,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,40,1.333333,30.0,400,600,center,1,200.0,198.855964,1.144036,20.0,RETO,20.0,20.0,1,1,1,1,38.16904826134924,359.54287914727456,58.16904826134924,198.8559637043119,339.54287914727456,1.0,1.0,95122.85433596083,186340.65742049692,226.4077,4.416811,321.373831,0.0,0.0,-0.000381,0.000127,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,41,1.366667,30.0,400,600,center,1,200.0,199.323673,0.676327,20.0,RETO,20.0,20.0,1,1,1,1,38.463657737385056,360.1836885171893,58.463657737385056,199.32367312728718,340.1836885171893,1.0,1.0,94164.43250175247,175495.73236523694,232.1003,4.308482,321.720031,0.0,0.0,-0.000285,9.5e-05,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,42,1.4,30.0,400,600,center,1,200.0,199.881592,0.118408,20.0,RETO,20.0,20.0,1,1,1,1,38.97725629541918,360.7859284254977,58.97725629541918,199.88159236045843,340.7859284254977,1.0,1.0,87739.7172222943,173919.6491668657,299.4967,3.338935,321.808672,0.0,0.0,-0.000214,7.1e-05,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,43,1.433333,30.0,400,600,center,1,200.0,200.481811,-0.481811,20.0,RETO,20.0,20.0,1,1,1,1,39.61106101989352,361.35256059598635,59.61106101989352,200.48181080793995,341.35256059598635,1.0,1.0,91298.75182100275,175089.79395686925,279.5184,3.577582,321.7415,0.0,0.0,-0.000161,5.4e-05,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,44,1.466667,30.0,400,600,center,1,200.0,201.12307,-1.12307,20.0,RETO,20.0,20.0,1,1,1,1,40.32866077573208,361.9174785329672,60.32866077573208,201.12306965434965,341.9174785329672,1.0,1.0,99668.94696721695,194199.30615206773,213.0365,4.694031,321.588818,0.0,0.0,-0.00012,4e-05,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,45,1.5,30.0,400,600,center,1,200.0,201.801867,-1.801867,20.0,RETO,20.0,20.0,1,1,1,1,41.142608274188824,362.46112660268767,61.142608274188824,201.80186743843825,342.46112660268767,1.0,1.0,106775.22252503502,214748.5594503283,247.1313,4.046432,321.318518,0.0,0.0,-9e-05,3e-05,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,46,1.533333,30.0,400,600,center,1,200.0,202.421637,-2.421637,20.0,RETO,20.0,20.0,1,1,1,1,41.90706041675963,362.9362145800123,61.90706041675963,202.421637498386,342.9362145800123,1.0,1.0,128174.30563136238,228094.75278178896,209.7914,4.76664,321.029154,0.0,0.0,-6.8e-05,2.3e-05,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,47,1.566667,30.0,400,600,center,1,200.0,203.028226,-3.028226,20.0,RETO,20.0,20.0,1,1,1,1,42.71071061344358,363.3457416037512,62.71071061344358,203.0282261085974,343.3457416037512,1.0,1.0,165379.1238077856,214600.03441679414,217.4874,4.597968,320.635031,-0.018889,-0.015111,-0.003829,-0.003761,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,48,1.6,30.0,400,600,center,1,200.0,203.63945,-3.63945,20.0,RETO,20.0,20.0,1,1,1,1,43.56533413023885,363.71356496697825,63.56533413023885,203.63944954860855,343.71356496697825,1.0,1.0,218025.22787405647,229387.64278094188,352.2756,2.838687,320.148231,-0.022736,-0.018189,-0.007419,-0.00359,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,49,1.633333,30.0,400,600,center,1,200.0,204.138344,-4.138344,20.0,RETO,20.0,20.0,1,1,1,1,44.38353672880116,363.8931518487915,64.38353672880116,204.1383442887963,343.8931518487915,1.0,1.0,289693.3383368361,224378.62062266536,235.9841,4.237574,319.509615,-0.025904,-0.020723,-0.010745,-0.003326,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,50,1.666667,30.0,400,600,center,1,200.0,204.536896,-4.536896,20.0,RETO,20.0,20.0,1,1,1,1,45.119159646915094,363.9546316255774,65.1191596469151,204.53689563624624,343.9546316255774,1.0,1.0,551427.5422612815,219200.46554390152,215.2898,4.644902,318.835472,-0.028459,-0.022767,-0.01375,-0.003006,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,51,1.7,30.0,400,600,center,1,200.0,204.873594,-4.873594,20.0,RETO,20.0,20.0,1,1,1,1,45.78115365257253,363.96603371668095,65.78115365257253,204.8735936846267,343.96603371668095,1.0,1.0,999999.0,234414.7091523745,210.1908,4.757582,318.18488,-0.030634,-0.024507,-0.01644,-0.002689,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,52,1.733333,30.0,400,600,center,1,200.0,205.15924,-5.15924,20.0,RETO,20.0,20.0,1,1,1,1,46.38027271984948,363.9382064228131,66.38027271984947,205.15923957133128,343.9382064228131,1.0,1.0,999999.0,229634.62132112155,217.8762,4.589762,317.557934,-0.032493,-0.025995,-0.018828,-0.002389,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,53,1.766667,30.0,400,600,center,1,200.0,205.399959,-5.399959,20.0,RETO,20.0,20.0,1,1,1,1,46.90942337491009,363.8904954215173,66.90942337491009,205.3999593982137,343.8904954215173,1.0,1.0,586464.37717937,233842.46774504118,206.4962,4.842704,316.981072,-0.034071,-0.027257,-0.020935,-0.002107,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,54,1.8,30.0,400,600,center,1,200.0,205.59596,-5.59596,20.0,RETO,20.0,20.0,1,1,1,1,47.353291905344584,363.8386280885889,67.35329190534458,205.59595999696674,343.8386280885889,1.0,1.0,390277.9714464003,235242.89708140117,203.454,4.915116,316.485336,-0.035363,-0.028291,-0.022774,-0.001839,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,55,1.833333,30.0,400,600,center,1,200.0,205.751452,-5.751452,20.0,RETO,20.0,20.0,1,1,1,1,47.728762459942665,363.7741408637959,67.72876245994266,205.75145166186928,343.7741408637959,1.0,1.0,335693.6586782919,198593.65277262675,216.1691,4.626008,316.045378,-0.036396,-0.029117,-0.02436,-0.001586,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,56,1.866667,30.0,400,600,center,1,200.0,205.84528,-5.84528,20.0,RETO,20.0,20.0,1,1,1,1,47.99118132577571,363.69937906140717,67.99118132577571,205.84528019359146,343.69937906140717,1.0,1.0,298443.8465914674,177172.9353266696,212.1685,4.713235,315.708198,-0.03703,-0.029624,-0.025676,-0.001316,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,57,1.9,30.0,400,600,center,1,200.0,205.901697,-5.901697,20.0,RETO,20.0,20.0,1,1,1,1,48.14855088233451,363.6548430815176,68.14855088233452,205.90169698192605,343.6548430815176,1.0,1.0,303257.9401290128,173240.87352379828,207.453,4.820369,315.506292,-0.037411,-0.029929,-0.026739,-0.001063,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,58,1.933333,30.0,400,600,center,1,200.0,205.88338,-5.88338,20.0,RETO,20.0,20.0,1,1,1,1,48.14753604623982,363.61922423325495,68.14753604623982,205.88338013974737,343.61922423325495,1.0,1.0,335349.97183142486,160183.35393258277,211.6256,4.725326,315.471688,-0.037299,-0.029839,-0.027514,-0.000775,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,59,1.966667,30.0,400,600,center,1,200.0,205.777164,-5.777164,20.0,RETO,20.0,20.0,1,1,1,1,47.96345019125039,363.59087737414563,67.96345019125039,205.777163782698,343.59087737414563,1.0,1.0,405124.0553619596,151060.17451696272,259.7587,3.849727,315.627427,-0.036607,-0.029286,-0.027957,-0.000443,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,60,2.0,30.0,400,600,center,1,200.0,205.649161,-5.649161,20.0,RETO,20.0,20.0,1,1,1,1,47.71391586421945,363.58440639429324,67.71391586421944,205.64916112925633,343.58440639429324,1.0,1.0,849908.5318946453,142913.3524415563,234.434,4.265593,315.870491,-0.035769,-0.028615,-0.028122,-0.000164,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,61,2.033333,30.0,400,600,center,1,200.0,205.489092,-5.489092,20.0,RETO,20.0,20.0,1,1,1,1,47.40314409944979,363.5750403214684,67.40314409944979,205.4890922104591,343.5750403214684,1.0,1.0,999999.0,134278.27949436769,203.6162,4.911201,316.171896,-0.034722,-0.027778,-0.028036,8.6e-05,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,62,2.066667,30.0,400,600,center,1,200.0,205.211303,-5.211303,20.0,RETO,20.0,20.0,1,1,1,1,47.00040044459543,363.42220500533165,67.00040044459543,205.21130272496356,343.42220500533165,1.0,1.0,957691.0440702438,123491.9421178194,217.583,4.595947,316.421805,-0.032939,-0.026351,-0.027615,0.000421,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,63,2.1,30.0,400,600,center,1,200.0,204.804855,-4.804855,20.0,RETO,20.0,20.0,1,1,1,1,46.493026548301735,363.116683515299,66.49302654830174,204.80485503180037,343.116683515299,1.0,1.0,729717.050997228,116075.79990967693,223.6593,4.471086,316.623657,-0.030351,-0.02428,-0.026781,0.000834,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,64,2.133333,30.0,400,600,center,1,200.0,204.30525,-4.30525,20.0,RETO,20.0,20.0,1,1,1,1,45.917061956022785,362.69343786411605,65.91706195602279,204.3052499100694,342.69343786411605,1.0,1.0,999999.0,114017.04719193497,228.4442,4.377437,316.776376,-0.027182,-0.021745,-0.025522,0.001259,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,65,2.166667,30.0,400,600,center,1,200.0,203.807146,-3.807146,20.0,RETO,20.0,20.0,1,1,1,1,45.40159066225675,362.21270072603863,65.40159066225675,203.80714569414772,342.21270072603863,1.0,1.0,924967.6355479422,112484.51038486502,295.122,3.388429,316.81111,-0.024034,-0.019227,-0.023948,0.001574,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,66,2.2,30.0,400,600,center,1,200.0,203.400433,-3.400433,20.0,RETO,20.0,20.0,1,1,1,1,45.02286413750622,361.7780025673127,65.02286413750622,203.40043335240944,341.7780025673127,1.0,1.0,502733.3354963496,107592.39003696947,210.722,4.745589,316.755138,-0.02147,-0.017176,-0.022255,0.001693,RETO,0,0
video_02,data/raw/video_02.mp4,config/video_02_params.json,67,2.233333,30.0,400,600,center,1,200.0,203.048864,-3.048864,20.0,RETO,20.0,20.0,1,1,1,1,44.723799873526836,361.37392776848696,64.72379987352684,203.04886382100688,341.37392776848696,1.0,1.0,296870.8630322769,100846.05964092418,196.5571,5.08758,316.650128,-0.019257,-0.015406,-0.020543,0.001712,RETO,0,0
